'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00989_-15.0_Oct30_14.27.16.tif', 'Edge of lamella', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00990_-15.0_Oct30_14.27.26.tif', 'Carbon', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00991_-15.0_Oct30_14.27.35.tif', 'Carbon', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00992_-15.0_Oct30_14.27.45.tif', 'Carbon', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00993_-15.0_Oct30_14.27.54.tif', 'Carbon', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00994_-15.0_Oct30_14.28.04.tif', 'Carbon', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00995_-15.0_Oct30_14.28.13.tif', 'Carbon', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00996_-15.0_Oct30_14.28.22.tif', 'Carbon', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00997_-15.0_Oct30_14.28.32.tif', 'Carbon', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00998_-15.0_Oct30_14.28.41.tif', 'Carbon', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_00999_-15.0_Oct30_14.28.51.tif', 'Carbon', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_01000_-15.0_Oct30_14.29.00.tif', 'Carbon', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_01001_-15.0_Oct30_14.29.10.tif', 'Unclear', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_01002_-15.0_Oct30_14.29.19.tif', 'Partial vacuum', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_01003_-15.0_Oct30_14.29.29.tif', 'Partial vacuum', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_01004_-15.0_Oct30_14.29.39.tif', 'Partial vacuum', 'correct'
'/data/elferich/CryoTEM/Johannes_20211029/ER_Hox_grid1/lamella1/frames/s_lamella_map_01005_-15.0_Oct30_14.29.48.tif', 'Partial vacuum', 'correct'
